Word,Vowel Ending,Number / ਵਚਨ,Grammar / ਵਯਾਕਰਣ,Gender / ਲਿੰਗ,Word Root,Type
ਨਾਮ,ਮੁਕਤਾ,Singular / ਇਕ,Dative ਸੰਪ੍ਦਾਨ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਵਿਹੂਣੀਆ,ਵਿਹੂਣੀਆ,,Without,,,Postposition / ਸੰਬੰਧਕ
ਸਫਲ,ਸਫਲ,Singular / ਇਕ,Qualitative ਗੁਣ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Adjectives / ਵਿਸ਼ੇਸ਼ਣ
ਜਨੰਮੁ,ਨਾਮੁ,Singular / ਇਕ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਜੈ,ਜੈ,Singular / ਇਕ,Dative ਸੰਪ੍ਦਾਨ,Trans / ਨਪੁਂਸਕ,Relative / ਸੰਬੰਧ,Pronoun / ਪੜਨਾਂਵ
ਜੈ,ਜੈ,Singular / ਇਕ,Pronominal ਪੜਨਾਂਵੀ,Masculine / ਪੁਲਿੰਗ,NA,Adjectives / ਵਿਸ਼ੇਸ਼ਣ
ਜੈ,ਜੈ,Singular / ਇਕ,Pronominal ਪੜਨਾਂਵੀ,Feminine / ਇਸਤਰੀ,NA,Adjectives / ਵਿਸ਼ੇਸ਼ਣ
ਜੈ,ਜੈ,Singular / ਇਕ,Possessive Pronominal / ਸੰਬੰਧ ਦਰਸਾਊ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Adjectives / ਵਿਸ਼ੇਸ਼ਣ
ਘਟਿ,ਿ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਵੁਠਾ,ਾ,Singular / ਇਕ,Past ਭੁਤ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ
ਸਚੁ,ੁ,Singular / ਇਕ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਧਣੀ,ਗਿਆਨੀ,Singular / ਇਕ,Nominative ਕਰਤਾ,Masculine / ਪੁਲਿੰਗ,ਬਿਹਾਰੀ Ending,Noun / ਨਾਂਵ
ਮਨਮੁਖ,ਮੁਕਤਾ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਕਰਮ,ਮੁਕਤਾ,Plural / ਬਹੁ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਕਮਾਵਣੇ,ਸੁਣੇ,Singular / ਇਕ,Present ਵਰਤਮਾਨ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ
